Time,header,PIR1,PIR2,PIR3,PIR4,PIR5,PIR6,LDR
2018-09-13T09:30:32.846Z,D,100,0,0,0,0,0,865,

2018-09-13T09:30:42.849Z,D,100,0,0,0,0,0,347,

2018-09-13T09:30:52.850Z,D,100,0,0,0,0,0,301,

2018-09-13T09:31:02.853Z,D,100,0,0,0,0,0,299,

