Time,header,PIR1,PIR2,PIR3,PIR4,PIR5,PIR6,LDR
2018-09-13T09:32:45.774Z,D,100,0,0,0,0,0,861,
2018-09-13T09:32:55.779Z,D,100,0,0,0,0,0,326,
2018-09-13T09:33:05.781Z,D,100,0,0,0,0,0,295,
2018-09-13T09:33:15.782Z,D,100,0,0,0,0,0,293,
2018-09-13T09:33:25.784Z,D,100,0,0,0,0,0,292,
2018-09-13T09:33:35.789Z,D,100,0,0,0,0,0,292,
2018-09-13T09:33:45.791Z,D,100,0,0,0,0,0,291,
